343, 58, 99, 248
340, 54, 97, 249
337, 53, 95, 244
334, 51, 92, 242
332, 53, 89, 239
327, 55, 88, 236
321, 62, 88, 233
317, 67, 86, 231
311, 71, 86, 229
307, 71, 86, 229
303, 71, 86, 230
299, 74, 85, 231
297, 74, 85, 228
292, 75, 86, 225
290, 77, 87, 220
287, 78, 86, 216
289, 74, 85, 210
271, 80, 88, 202
272, 79, 90, 198
270, 87, 91, 195
252, 100, 92, 190
253, 100, 92, 185
255, 104, 94, 177
236, 134, 96, 167
240, 134, 97, 161
236, 151, 105, 158
233, 155, 113, 155
242, 154, 118, 155
282, 135, 108, 162
285, 125, 101, 166
288, 126, 96, 168
288, 113, 94, 170
289, 106, 95, 169
285, 95, 96, 171
281, 95, 95, 172
280, 100, 93, 172
282, 94, 91, 175
271, 107, 89, 174
269, 117, 91, 168
267, 125, 97, 161
281, 119, 96, 163
296, 113, 95, 166
297, 118, 95, 163
315, 118, 92, 163
320, 108, 88, 165
324, 107, 86, 167
327, 105, 85, 170
331, 101, 81, 175
329, 97, 82, 180
329, 94, 82, 182
330, 94, 84, 186
331, 86, 86, 189
333, 83, 89, 195
333, 79, 94, 195
335, 75, 95, 197
343, 76, 93, 195
349, 80, 89, 195
352, 78, 87, 196
354, 79, 87, 200
356, 76, 84, 203
354, 73, 83, 207
354, 72, 83, 212
353, 67, 84, 215
356, 66, 84, 217
354, 63, 86, 219
335, 56, 88, 221
334, 53, 87, 223
317, 52, 88, 229
316, 52, 88, 231
312, 54, 89, 232
307, 60, 91, 229
288, 58, 95, 224
294, 59, 95, 227
295, 65, 94, 228
293, 64, 95, 230
289, 65, 97, 230
286, 67, 97, 229
276, 71, 100, 224
271, 72, 102, 222
270, 72, 102, 219
273, 69, 101, 216
278, 69, 99, 216
281, 69, 98, 216
286, 78, 95, 215
290, 78, 93, 213
293, 72, 90, 213
299, 71, 87, 217
300, 71, 87, 218
302, 73, 90, 219
303, 76, 90, 220
301, 77, 95, 215
298, 85, 99, 206
293, 89, 103, 200
291, 96, 105, 194
279, 99, 107, 193
282, 100, 110, 189
284, 101, 117, 182
288, 101, 117, 184
288, 103, 119, 185
292, 100, 116, 187
294, 96, 115, 189
295, 89, 114, 190
296, 87, 112, 190
281, 80, 108, 192
281, 77, 104, 195
279, 75, 99, 200
278, 70, 96, 204
275, 70, 96, 206
270, 68, 96, 209
264, 56, 97, 211
260, 57, 97, 211
261, 58, 94, 213
262, 58, 91, 215
261, 55, 88, 216
263, 55, 87, 218
266, 55, 86, 216
267, 55, 86, 214
271, 62, 85, 212
274, 66, 84, 210
278, 66, 85, 209
281, 65, 87, 211
284, 59, 88, 211
292, 58, 90, 215
297, 56, 91, 217
300, 55, 93, 219
307, 57, 96, 218
311, 59, 98, 218
315, 60, 98, 218
315, 59, 98, 220
313, 62, 97, 217
312, 64, 96, 216
311, 68, 96, 210
311, 70, 97, 208
311, 72, 96, 207
310, 64, 99, 209
312, 58, 97, 214
314, 51, 95, 223
312, 52, 94, 225
308, 53, 92, 224
289, 69, 93, 221
287, 67, 93, 220
286, 66, 95, 217
283, 68, 98, 216
282, 67, 99, 216
288, 41, 102, 209
291, 38, 103, 205
292, 33, 102, 199
289, 34, 102, 191
285, 34, 103, 188
283, 43, 100, 189
281, 60, 96, 198
283, 70, 96, 199
288, 67, 96, 200
292, 72, 92, 197
293, 74, 91, 193
295, 76, 90, 191
297, 77, 90, 190
302, 78, 92, 186
303, 80, 90, 186
307, 75, 86, 192
309, 74, 82, 197
313, 61, 79, 204
313, 54, 78, 211
312, 38, 80, 217
312, 42, 82, 217
317, 46, 86, 212
321, 49, 86, 212
325, 57, 85, 209
336, 56, 90, 202
331, 58, 89, 199
329, 56, 88, 197
325, 57, 89, 192
323, 58, 89, 188
325, 59, 87, 189
324, 61, 86, 190
322, 61, 85, 188
323, 65, 85, 186
330, 62, 83, 185
335, 63, 82, 185
337, 60, 82, 184
339, 59, 83, 182
338, 60, 87, 180
340, 64, 89, 177
338, 65, 90, 176
338, 66, 90, 176
321, 69, 91, 174
317, 66, 94, 171
312, 67, 102, 168
332, 72, 97, 167
334, 72, 93, 168
337, 68, 88, 167
341, 67, 83, 168
344, 63, 80, 170
347, 66, 77, 170
350, 62, 75, 173
350, 61, 74, 174
352, 59, 73, 176
351, 57, 74, 176
351, 59, 74, 172
354, 60, 72, 171
357, 62, 70, 174
360, 58, 67, 181
361, 62, 66, 187
351, 59, 66, 191
355, 60, 66, 192
358, 61, 67, 195
360, 60, 67, 199
361, 56, 68, 204
352, 53, 68, 203
356, 50, 68, 203
357, 57, 69, 200
348, 51, 68, 198
353, 49, 67, 198
355, 53, 65, 202
357, 54, 65, 203
354, 56, 68, 206
352, 62, 70, 206
333, 61, 76, 200
315, 64, 86, 194
314, 67, 91, 189
310, 71, 95, 181
309, 76, 96, 175
308, 77, 96, 171
306, 80, 96, 167
304, 83, 105, 160
301, 85, 113, 155
301, 85, 117, 153
301, 86, 122, 153
337, 78, 114, 157
341, 75, 106, 160
348, 70, 94, 164
352, 74, 86, 165
357, 72, 78, 169
345, 69, 74, 167
350, 70, 70, 170
354, 69, 68, 170
341, 55, 69, 170
344, 68, 67, 169
356, 77, 64, 172
353, 73, 64, 174
344, 69, 66, 168
346, 74, 64, 167
336, 69, 64, 166
335, 70, 64, 168
322, 64, 67, 163
320, 70, 68, 160
323, 74, 66, 163
310, 65, 65, 166
310, 65, 64, 168
307, 70, 66, 164
308, 71, 70, 161
309, 74, 70, 161
310, 79, 67, 166
300, 76, 68, 165
305, 77, 69, 162
305, 80, 70, 158
307, 83, 69, 158
307, 82, 69, 157
310, 89, 70, 155
311, 87, 72, 153
313, 89, 74, 152
312, 92, 76, 150
315, 109, 83, 145
312, 108, 90, 142
296, 104, 96, 143
310, 113, 100, 144
315, 104, 95, 150
317, 98, 90, 157
320, 98, 86, 159
303, 102, 92, 154
324, 106, 88, 152
325, 110, 87, 151
309, 112, 93, 147
312, 112, 93, 145
298, 110, 99, 144
296, 111, 103, 143
310, 103, 97, 148
309, 100, 95, 151
295, 98, 100, 148
284, 101, 104, 145
270, 107, 107, 145
276, 100, 99, 148
265, 101, 95, 149
263, 117, 97, 147
255, 115, 99, 147
252, 114, 100, 149
251, 110, 102, 151
246, 111, 104, 150
252, 110, 104, 149
254, 109, 103, 150
270, 101, 97, 151
271, 101, 90, 152
271, 100, 86, 155
271, 96, 83, 156
290, 88, 77, 159
290, 84, 73, 162
291, 86, 73, 163
304, 79, 70, 168
300, 86, 70, 167
301, 91, 69, 168
295, 98, 70, 166
292, 106, 75, 159
288, 114, 80, 152
284, 117, 85, 148
279, 118, 93, 146
276, 118, 99, 147
271, 115, 106, 148
265, 111, 111, 152
255, 110, 116, 154
249, 106, 122, 154
236, 104, 125, 154
238, 103, 126, 154
224, 98, 120, 157
229, 100, 121, 158
236, 100, 122, 157
243, 103, 124, 156
251, 96, 114, 159
256, 96, 107, 161
250, 95, 101, 162
259, 95, 96, 161
265, 95, 93, 159
269, 95, 88, 157
273, 94, 85, 154
274, 94, 84, 152
272, 95, 82, 153
270, 94, 81, 158
270, 90, 78, 163
272, 86, 75, 173
275, 80, 72, 177
279, 79, 73, 181
284, 73, 73, 185
287, 72, 75, 184
300, 72, 76, 183
299, 71, 78, 183
297, 73, 79, 184
296, 73, 80, 185
297, 73, 81, 186
299, 74, 78, 191
302, 72, 77, 195
302, 71, 77, 196
302, 71, 78, 196
319, 68, 79, 199
283, 83, 82, 193
281, 85, 82, 189
279, 90, 79, 187
278, 92, 75, 185
277, 94, 72, 184
266, 101, 72, 184
268, 101, 75, 181
270, 100, 75, 180
271, 99, 75, 181
271, 102, 77, 178
270, 105, 80, 176
268, 111, 82, 175
268, 114, 82, 174
269, 109, 82, 171
269, 110, 81, 171
269, 106, 78, 175
257, 106, 80, 177
260, 104, 77, 180
260, 102, 75, 181
262, 98, 72, 186
265, 94, 71, 191
268, 92, 74, 190
270, 92, 78, 190
269, 91, 83, 188
267, 89, 87, 190
261, 87, 92, 196
262, 85, 95, 199
262, 87, 95, 202
263, 84, 96, 205
270, 87, 98, 206
274, 88, 100, 206
282, 83, 100, 208
287, 83, 101, 212
288, 75, 101, 216
289, 72, 103, 219
294, 66, 99, 222
293, 64, 99, 224
293, 66, 100, 225
294, 70, 101, 222
301, 71, 101, 219
308, 74, 99, 219
307, 74, 99, 216
307, 72, 96, 214
307, 68, 93, 213
304, 65, 92, 212
304, 62, 91, 214
301, 57, 91, 217
299, 56, 92, 220
299, 58, 92, 223
302, 58, 93, 223
302, 57, 95, 223
297, 62, 100, 214
284, 62, 101, 208
286, 59, 100, 206
282, 55, 101, 204
281, 54, 100, 201
282, 50, 99, 201
268, 64, 91, 205
271, 65, 86, 207
275, 58, 82, 212
279, 56, 80, 215
280, 50, 80, 216
280, 41, 81, 217
276, 41, 81, 214
277, 45, 81, 214
277, 50, 78, 214
278, 60, 74, 219
277, 67, 75, 218
274, 72, 77, 215
267, 73, 82, 203
261, 79, 84, 197
255, 83, 84, 190
237, 85, 86, 186
237, 80, 84, 189
235, 72, 82, 194
232, 69, 81, 193
227, 70, 80, 191
225, 73, 78, 190
225, 76, 74, 192
223, 79, 72, 191
221, 81, 73, 191
220, 87, 72, 190
218, 90, 72, 191
213, 84, 73, 190
210, 81, 75, 191
209, 75, 77, 194
211, 73, 79, 197
216, 72, 76, 200
219, 73, 75, 203
220, 91, 75, 203
221, 92, 75, 202
220, 94, 77, 201
216, 92, 80, 198
215, 90, 81, 197
215, 89, 81, 198
210, 85, 80, 199
206, 82, 80, 199
209, 78, 77, 198
212, 76, 75, 198
215, 86, 74, 199
218, 89, 74, 201
220, 89, 77, 200
219, 93, 81, 198
216, 103, 87, 192
217, 104, 89, 188
217, 110, 89, 183
216, 113, 88, 180
212, 117, 88, 177
207, 116, 90, 170
208, 117, 91, 167
209, 119, 89, 164
211, 125, 87, 160
200, 139, 85, 154
202, 154, 81, 147
203, 152, 78, 145
205, 149, 74, 145
197, 151, 74, 145
203, 145, 73, 147
205, 141, 73, 148
209, 140, 73, 148
214, 140, 74, 147
229, 137, 72, 148
234, 139, 70, 149
310, 100, 67, 158
315, 99, 65, 166
319, 105, 63, 172
320, 102, 63, 177
320, 103, 65, 179
