245, 64, 11, 13
246, 64, 11, 13
246, 63, 11, 13
246, 64, 11, 13
245, 63, 12, 14
245, 63, 12, 14
246, 62, 12, 14
245, 63, 12, 14
245, 63, 12, 14
245, 62, 12, 14
245, 63, 12, 14
246, 62, 12, 14
246, 62, 12, 14
246, 63, 12, 14
246, 63, 12, 14
247, 63, 12, 14
246, 63, 12, 14
246, 62, 12, 14
246, 63, 12, 14
245, 62, 12, 14
246, 63, 12, 14
245, 63, 12, 14
245, 63, 12, 14
245, 63, 12, 14
244, 64, 12, 14
243, 64, 13, 14
243, 63, 13, 14
242, 63, 13, 14
241, 63, 13, 14
241, 63, 13, 14
239, 64, 13, 14
238, 63, 13, 14
237, 64, 13, 14
236, 64, 13, 14
235, 64, 13, 14
234, 64, 13, 14
232, 64, 13, 14
230, 65, 13, 14
228, 65, 13, 14
226, 65, 13, 14
224, 65, 13, 14
223, 64, 13, 14
221, 64, 13, 14
219, 64, 13, 14
217, 63, 13, 14
216, 63, 12, 14
214, 63, 12, 14
212, 62, 12, 14
210, 62, 12, 14
208, 61, 12, 14
206, 62, 12, 14
205, 62, 12, 14
202, 62, 12, 14
202, 62, 12, 14
199, 62, 12, 14
198, 63, 12, 14
196, 63, 12, 14
194, 63, 12, 14
193, 63, 12, 14
191, 62, 12, 15
189, 63, 12, 15
187, 62, 12, 15
186, 62, 12, 15
184, 61, 12, 15
182, 60, 12, 15
181, 60, 12, 15
179, 60, 12, 15
177, 60, 12, 15
175, 60, 12, 15
174, 60, 12, 15
172, 60, 12, 15
170, 61, 12, 15
167, 61, 12, 15
165, 62, 12, 15
164, 62, 12, 15
162, 62, 12, 15
160, 62, 12, 15
159, 62, 12, 15
157, 62, 13, 15
155, 62, 13, 15
154, 62, 13, 15
153, 62, 13, 15
152, 61, 12, 15
151, 60, 12, 15
150, 60, 12, 15
150, 60, 12, 15
149, 60, 12, 15
149, 60, 13, 15
148, 60, 13, 15
149, 60, 13, 15
149, 61, 13, 15
149, 61, 13, 15
150, 62, 13, 15
