49, 43, 25, 63
35, 39, 26, 63
35, 42, 25, 64
40, 38, 26, 64
34, 39, 26, 64
35, 39, 27, 63
35, 40, 28, 62
42, 40, 29, 62
41, 36, 29, 63
42, 33, 29, 64
43, 36, 29, 64
57, 37, 28, 64
63, 35, 28, 64
62, 30, 29, 66
77, 29, 29, 66
95, 32, 31, 66
87, 26, 31, 66
80, 25, 31, 67
86, 23, 30, 68
82, 23, 30, 69
79, 24, 31, 70
83, 31, 33, 71
87, 37, 34, 71
74, 41, 35, 71
67, 40, 36, 70
75, 28, 35, 70
74, 22, 34, 68
65, 14, 34, 68
56, 13, 35, 69
57, 15, 36, 70
67, 21, 37, 68
77, 24, 37, 67
84, 27, 37, 67
100, 21, 35, 68
115, 25, 35, 68
109, 25, 34, 67
109, 23, 35, 66
126, 26, 35, 66
134, 30, 35, 66
140, 34, 35, 66
147, 32, 35, 66
148, 31, 35, 66
146, 30, 34, 67
146, 27, 33, 67
147, 29, 33, 68
118, 32, 34, 68
101, 33, 34, 68
99, 30, 34, 68
99, 34, 34, 69
102, 23, 33, 71
103, 13, 32, 71
101, 14, 34, 70
114, 19, 34, 71
115, 20, 34, 72
115, 28, 35, 73
107, 31, 35, 71
105, 30, 36, 72
97, 26, 35, 73
96, 24, 34, 73
119, 19, 33, 73
128, 21, 33, 72
126, 21, 33, 72
127, 29, 34, 72
121, 35, 35, 73
124, 36, 35, 72
126, 45, 34, 74
136, 59, 33, 72
135, 59, 32, 75
121, 56, 32, 76
121, 51, 35, 73
114, 50, 36, 73
107, 56, 36, 74
92, 44, 36, 75
92, 45, 34, 79
102, 48, 33, 80
111, 58, 32, 82
119, 64, 31, 85
128, 59, 32, 86
143, 70, 35, 83
132, 63, 38, 80
135, 55, 38, 80
150, 53, 39, 80
155, 52, 40, 78
163, 56, 39, 76
172, 61, 38, 75
168, 62, 37, 75
169, 56, 37, 77
170, 56, 37, 79
164, 58, 42, 76
124, 56, 42, 78
109, 39, 40, 79
125, 38, 38, 81
127, 36, 34, 84
129, 29, 33, 86
128, 24, 33, 87
126, 43, 37, 83
140, 46, 39, 80
140, 49, 39, 80
134, 47, 38, 80
135, 42, 38, 80
142, 44, 36, 79
131, 42, 35, 80
125, 25, 37, 78
168, 19, 37, 80
174, 23, 37, 80
174, 24, 36, 81
180, 24, 36, 82
187, 30, 36, 81
171, 34, 35, 81
170, 33, 35, 86
168, 34, 35, 88
160, 36, 36, 88
135, 40, 37, 87
124, 37, 38, 86
115, 46, 38, 84
115, 43, 39, 83
117, 41, 37, 83
110, 46, 36, 88
117, 43, 37, 86
132, 46, 39, 87
139, 46, 39, 87
136, 45, 40, 87
135, 44, 39, 87
137, 30, 39, 86
140, 24, 40, 85
166, 23, 41, 86
172, 18, 41, 87
172, 29, 39, 87
162, 34, 40, 87
160, 28, 40, 86
159, 31, 40, 86
159, 36, 40, 84
143, 30, 39, 87
140, 34, 38, 87
123, 29, 39, 87
122, 13, 39, 88
113, 19, 40, 86
120, 12, 40, 88
127, 24, 41, 88
